# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
1.040e+02  6.719e+02  8.762e-02  7.716e+02  6.718e+02
1.050e+02 -7.340e+02  1.027e-01  7.808e+02 -7.341e+02
1.060e+02 -9.410e+01  1.203e-01  7.512e+02 -9.422e+01
1.070e+02 -6.565e+02  1.407e-01  7.375e+02 -6.566e+02
1.080e+02 -9.521e+02  1.643e-01  7.211e+02 -9.522e+02
1.090e+02 -2.448e+03  1.918e-01  7.190e+02 -2.449e+03
1.100e+02 -2.133e+03  2.236e-01  7.401e+02 -2.133e+03
1.110e+02  2.288e+03  2.605e-01  7.595e+02  2.287e+03
1.120e+02  3.106e+03  3.031e-01  7.573e+02  3.105e+03
1.130e+02  1.239e+02  3.523e-01  7.627e+02  1.235e+02
1.140e+02  2.908e+03  4.090e-01  7.457e+02  2.908e+03
1.150e+02  7.556e+02  4.743e-01  7.433e+02  7.551e+02
1.160e+02 -7.487e+02  5.496e-01  7.384e+02 -7.493e+02
1.170e+02 -2.923e+02  6.361e-01  7.359e+02 -2.930e+02
1.180e+02 -4.061e+01  7.354e-01  7.392e+02 -4.135e+01
1.190e+02  4.266e+03  8.493e-01  7.328e+02  4.265e+03
1.200e+02 -1.135e+03  9.799e-01  7.295e+02 -1.136e+03
1.210e+02  1.557e+02  1.129e+00  7.267e+02  1.546e+02
1.220e+02  1.042e+03  1.300e+00  7.288e+02  1.041e+03
1.230e+02 -1.398e+02  1.495e+00  7.401e+02 -1.413e+02
1.240e+02  2.816e+02  1.718e+00  7.367e+02  2.799e+02
1.250e+02 -4.273e+03  1.972e+00  7.372e+02 -4.275e+03
1.260e+02 -7.084e+02  2.260e+00  7.294e+02 -7.107e+02
1.270e+02 -1.031e+02  2.589e+00  7.279e+02 -1.056e+02
1.280e+02  3.511e+03  2.962e+00  7.166e+02  3.508e+03
1.290e+02  2.028e+03  3.385e+00  7.061e+02  2.025e+03
1.300e+02  5.627e+02  3.864e+00  7.124e+02  5.588e+02
1.310e+02 -3.501e+01  4.407e+00  7.119e+02 -3.942e+01
1.320e+02  3.013e+03  5.020e+00  7.152e+02  3.008e+03
1.330e+02  2.412e+03  5.713e+00  7.184e+02  2.406e+03
1.340e+02  3.397e+03  6.495e+00  7.076e+02  3.391e+03
1.350e+02 -1.130e+03  7.376e+00  7.123e+02 -1.137e+03
1.360e+02 -1.194e+03  8.368e+00  7.169e+02 -1.202e+03
1.370e+02 -6.880e+01  9.483e+00  7.207e+02 -7.828e+01
1.380e+02 -3.059e+03  1.073e+01  7.341e+02 -3.070e+03
1.390e+02 -1.272e+03  1.214e+01  7.243e+02 -1.284e+03
1.400e+02  5.497e+02  1.371e+01  7.139e+02  5.360e+02
1.410e+02  1.366e+03  1.548e+01  6.935e+02  1.350e+03
1.420e+02 -6.288e+02  1.745e+01  6.949e+02 -6.462e+02
1.430e+02  2.735e+03  1.965e+01  6.920e+02  2.716e+03
1.440e+02  3.727e+03  2.210e+01  6.968e+02  3.705e+03
1.450e+02  2.956e+03  2.483e+01  6.991e+02  2.931e+03
1.460e+02  1.142e+03  2.788e+01  6.975e+02  1.114e+03
1.470e+02  3.583e+02  3.126e+01  6.910e+02  3.270e+02
1.480e+02 -1.935e+03  3.502e+01  7.001e+02 -1.970e+03
1.490e+02 -3.680e+03  3.919e+01  6.988e+02 -3.719e+03
1.500e+02 -1.054e+03  4.380e+01  6.905e+02 -1.098e+03
1.510e+02  2.742e+03  4.891e+01  6.748e+02  2.694e+03
1.520e+02  2.265e+03  5.456e+01  6.661e+02  2.210e+03
1.530e+02  4.315e+02  6.080e+01  6.761e+02  3.707e+02
1.540e+02 -2.051e+03  6.768e+01  6.808e+02 -2.118e+03
1.550e+02 -7.429e+01  7.525e+01  6.789e+02 -1.495e+02
1.560e+02 -3.268e+02  8.359e+01  6.753e+02 -4.104e+02
1.570e+02 -6.813e+02  9.276e+01  6.645e+02 -7.741e+02
1.580e+02  1.911e+03  1.028e+02  6.656e+02  1.808e+03
1.590e+02  2.978e+03  1.138e+02  6.686e+02  2.864e+03
1.600e+02 -5.165e+02  1.259e+02  6.651e+02 -6.425e+02
1.610e+02 -8.513e+02  1.391e+02  6.472e+02 -9.904e+02
1.620e+02  3.560e+02  1.536e+02  6.346e+02  2.024e+02
1.630e+02 -8.997e+02  1.693e+02  6.293e+02 -1.069e+03
1.640e+02 -5.474e+02  1.865e+02  6.421e+02 -7.339e+02
1.650e+02  1.382e+03  2.052e+02  6.396e+02  1.177e+03
1.660e+02  1.474e+03  2.256e+02  6.272e+02  1.248e+03
1.670e+02  3.579e+02  2.477e+02  6.136e+02  1.102e+02
1.680e+02 -3.391e+03  2.717e+02  6.310e+02 -3.663e+03
1.690e+02  2.339e+03  2.977e+02  6.212e+02  2.042e+03
1.700e+02 -1.670e+03  3.258e+02  6.283e+02 -1.995e+03
1.710e+02  1.061e+03  3.562e+02  6.299e+02  7.047e+02
1.720e+02  3.186e+02  3.891e+02  6.252e+02 -7.051e+01
1.730e+02 -3.644e+02  4.245e+02  6.171e+02 -7.889e+02
1.740e+02 -1.015e+03  4.627e+02  6.091e+02 -1.477e+03
1.750e+02  8.943e+01  5.038e+02  6.027e+02 -4.143e+02
1.760e+02  2.059e+03  5.479e+02  6.052e+02  1.511e+03
1.770e+02  2.179e+03  5.953e+02  6.042e+02  1.584e+03
1.780e+02  1.090e+03  6.461e+02  6.100e+02  4.441e+02
1.790e+02 -9.748e+01  7.005e+02  6.040e+02 -7.980e+02
1.800e+02 -2.700e+03  7.587e+02  6.095e+02 -3.459e+03
1.810e+02  1.112e+02  8.208e+02  6.057e+02 -7.096e+02
1.820e+02  1.893e+03  8.871e+02  6.164e+02  1.006e+03
1.830e+02  1.083e+03  9.577e+02  6.227e+02  1.248e+02
1.840e+02 -7.523e+02  1.033e+03  6.198e+02 -1.785e+03
1.850e+02 -1.954e+03  1.113e+03  6.173e+02 -3.067e+03
1.860e+02 -5.746e+02  1.198e+03  6.077e+02 -1.772e+03
1.870e+02 -8.787e+02  1.288e+03  5.939e+02 -2.166e+03
1.880e+02  2.820e+03  1.383e+03  6.063e+02  1.437e+03
1.890e+02  2.249e+03  1.484e+03  6.053e+02  7.659e+02
1.900e+02  2.390e+03  1.590e+03  6.291e+02  8.005e+02
1.910e+02  4.472e+03  1.702e+03  6.056e+02  2.770e+03
1.920e+02  5.192e+03  1.820e+03  5.955e+02  3.372e+03
1.930e+02  3.536e+03  1.945e+03  5.858e+02  1.592e+03
1.940e+02  1.040e+03  2.075e+03  5.909e+02 -1.035e+03
1.950e+02  3.231e+02  2.212e+03  5.789e+02 -1.889e+03
1.960e+02  7.560e+02  2.356e+03  5.840e+02 -1.600e+03
1.970e+02  4.408e+03  2.507e+03  5.883e+02  1.902e+03
1.980e+02  5.319e+03  2.664e+03  5.838e+02  2.656e+03
