# /home/yihan/monitor/analysis 25244 -u20 -U150 -p8 -y85 -Y93 -GP -d 3.9 -q 0.874342 
# Crop window: [0, 511; 85, 93] Normalization: 0.908168		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25244          8.743420e-01 4.000e+01 2.163e+03 1.591e+00 -6.863e+05 2.897e-10 8.063e+03  4.945e+02  5.000e+00  0.000e+00  1.681e+01  3.654e-02 2.634e+02 1.552e+02 5.000e-01 0.000e+00
# error                     0 3.956e+02         0         0 1.549e+04 1.000e-03  8.152e+02  4.945e+01  1.000e-03          0         0 4.699e+01
# 
# z    intNum       Fit     Error       Res
2.880e+02 -1.626e+03  0.000e+00  2.178e+02 -1.626e+03
2.890e+02 -7.293e+02  0.000e+00  2.043e+02 -7.293e+02
2.900e+02 -5.866e+02  0.000e+00  2.106e+02 -5.866e+02
2.910e+02 -6.379e+02  0.000e+00  2.093e+02 -6.379e+02
2.920e+02 -5.164e+02  0.000e+00  2.074e+02 -5.164e+02
2.930e+02 -1.005e+03  0.000e+00  2.152e+02 -1.005e+03
2.940e+02 -1.945e+03  0.000e+00  2.287e+02 -1.945e+03
2.950e+02 -7.117e+02  0.000e+00  2.240e+02 -7.117e+02
2.960e+02 -6.434e+02  0.000e+00  2.187e+02 -6.434e+02
2.970e+02 -8.966e+02  0.000e+00  2.238e+02 -8.966e+02
2.980e+02 -9.542e+02  0.000e+00  2.237e+02 -9.542e+02
2.990e+02 -7.298e+02  0.000e+00  2.239e+02 -7.298e+02
3.000e+02 -1.217e+03  0.000e+00  2.236e+02 -1.217e+03
3.010e+02 -1.253e+03  0.000e+00  2.174e+02 -1.253e+03
3.020e+02 -6.750e+02  0.000e+00  2.184e+02 -6.750e+02
3.030e+02 -9.188e+02  0.000e+00  2.234e+02 -9.188e+02
3.040e+02 -1.387e+03  0.000e+00  2.199e+02 -1.387e+03
3.050e+02 -6.883e+02  0.000e+00  2.133e+02 -6.883e+02
3.060e+02 -1.281e+03  0.000e+00  2.162e+02 -1.281e+03
3.070e+02 -8.098e+02  0.000e+00  2.074e+02 -8.098e+02
3.080e+02 -1.690e+03  0.000e+00  2.136e+02 -1.690e+03
3.090e+02 -2.002e+03  0.000e+00  2.124e+02 -2.002e+03
3.100e+02 -7.680e+02  0.000e+00  2.046e+02 -7.680e+02
3.110e+02 -7.087e+02  0.000e+00  2.046e+02 -7.087e+02
3.120e+02 -5.104e+02  0.000e+00  2.100e+02 -5.104e+02
3.130e+02 -8.527e+02  0.000e+00  2.118e+02 -8.527e+02
3.140e+02 -2.065e+03  0.000e+00  2.201e+02 -2.065e+03
3.150e+02 -2.785e+03  0.000e+00  2.360e+02 -2.785e+03
3.160e+02 -7.861e+02  0.000e+00  2.073e+02 -7.861e+02
3.170e+02 -1.906e+03  0.000e+00  2.167e+02 -1.906e+03
3.180e+02 -2.345e+03  0.000e+00  2.191e+02 -2.345e+03
3.190e+02 -1.533e+03  0.000e+00  2.113e+02 -1.533e+03
